2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/15 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/16 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/16 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/17 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/17 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/18 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/18 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/19 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/19 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/20 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/20 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/21 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/21 14:00; Rainfall: 1.27
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/22 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/22 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/23 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/23 14:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/24 08:00; Rainfall: 0
2016-12-14 13:36:13.480 +02:00 [Verbose] Date: 1937/10/24 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/25 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/25 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/26 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/26 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/27 08:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/27 14:00; Rainfall: 0
2016-12-14 13:36:13.481 +02:00 [Verbose] Date: 1937/10/28 08:00; Rainfall: 0
